248873392,male,man,A male,A man,True,151,151,male,man,Equivalence,3
3148571800,crowd+people,crowd,a crowd of people,the crowd,True,84,84,crowd people,crowd,Equivalence,3
4725078805,woman,women,A woman,Women,True,-1,-1,woman,women,Equivalence,3
501680472,male,man,A male,A man,True,114,114,male,man,Equivalence,3
237168242,man,male,A man,A male,True,167,167,man,male,Equivalence,3
2780390703,crowd+people,crowd,a crowd of people,a crowd,True,69,69,crowd people,crowd,Equivalence,3
3431487300,two+woman,two+women,two woman,two women,True,195,195,two woman,two women,Equivalence,3
4442764150,male,man,A male,A man,True,197,197,male,man,Equivalence,3
4461519605,man,another+man,a man,another man,True,61,-1,man,another man,Equivalence,3
3168360695,gift,present,his gift,a present,True,193,193,gift,present,Equivalence,3
2421823977,another+man,man,another man,A man,True,-1,-1,another man,man,Equivalence,3
4491852454,another+man,man,another man,A man,True,119,119,another man,man,Equivalence,3
4410308811,another+man,man,another man,a man,True,177,177,another man,man,Equivalence,3
2837734285,pair+sunglasses,sunglasses,a pair of sunglasses,the sunglasses,True,177,177,pair sunglasses,sunglasses,Equivalence,3
2837734285,pair+sunglasses,sunglasses,a pair of sunglasses,the sunglasses,True,177,177,pair sunglasses,sunglasses,Equivalence,3
449233992,tall+oval+shape+flower+display,giant+egged+shaped+collection+flowers,a tall oval shape flower display,An giant egged shaped collection of flowers,True,94,94,tall oval shape flower display,giant egged shaped collection flowers,Equivalence,3
3827317206,woman,women,A woman,Women,True,161,161,woman,women,Equivalence,3
441817653,denim+jacket,jean+jacket,a denim jacket,jean jacket,True,144,144,denim jacket,jean jacket,Equivalence,3
3786279352,infant,small+baby,An infant,a small baby,True,114,114,infant,small baby,Equivalence,3
4585470754,referee,ref,referee,a ref,True,-1,-1,referee,ref,Equivalence,3
2039175551,man,male,Man,A male,True,191,-1,man,male,Equivalence,3
1231348815,carriage,cart,a carriage,a cart,True,86,86,carriage,cart,Equivalence,3
2261962622,big+screen,large+screen,a big screen,a large screen,True,18,18,big screen,large screen,Equivalence,3
2666830229,woman,women,a woman,women,True,-1,-1,woman,women,Equivalence,3
6635990951,gifts,presents,gifts,presents,True,18,18,gifts,presents,Equivalence,3
7669007232,woman,women,a woman,women,True,182,182,woman,women,Equivalence,3
3349955993,boys,group+boys,The boys,A group of boys,True,47,47,boys,group boys,Equivalence,3
418207489,man,male,a man,a male,True,187,-1,man,male,Equivalence,3
7988459911,man,another+man,a man,another man,True,187,67,man,another man,Equivalence,3
3545976616,crowd+people,crowd,a crowd of people,a crowd,True,32,52,crowd people,crowd,Equivalence,3
4560420776,construction+site,construction+zone,a construction site,a construction zone,True,7,7,construction site,construction zone,Equivalence,3
252124738,ear+corn,cob,an ear of corn,the cob,True,179,179,ear corn,cob,Equivalence,3
2230971412,two+elderly+women,two+old+women,Two elderly women,Two old women,True,5,5,two elderly women,two old women,Equivalence,3
2219805677,gold+dog,golden+dog,A gold dog,a golden dog,True,95,95,gold dog,golden dog,Equivalence,3
112945950,women,woman,the women,a woman,True,155,155,women,woman,Equivalence,3
5696581092,large+star,big+star,a large star,a big star,True,181,181,large star,big star,Equivalence,3
2678193588,children,kids,The children,These kids,True,164,164,children,kids,Equivalence,3
50797765,crowd,crowd+people,a crowd,a crowd of people,True,111,111,crowd,crowd people,Equivalence,3
3890244554,large+pool+foam,sea+foam,a large pool of foam,a sea of foam,True,42,42,large pool foam,sea foam,Equivalence,3
50194396,young+boy,little+boy,A young boy,The one little boy,True,137,137,young boy,one little boy,Equivalence,3
126378326,children,kids,Children,kids,True,-1,-1,children,kids,Equivalence,3
3150742439,another+man,man,another man,a man,True,94,186,another man,man,Equivalence,3
404619468,middle+eastern+dress,middle+eastern+attire,Middle Eastern dress,middle eastern attire,True,44,44,middle eastern dress,middle eastern attire,Equivalence,3
3086523890,small+white+dog,little+white+dog,a small white dog,the little white dog,True,167,167,small white dog,little white dog,Equivalence,3
264342682,2+women,two+women,2 women,Two women,True,195,195,2 women,two women,Equivalence,3
4939713092,young+male+child,young+boy,A young male child,A young boy,True,1,1,young male child,young boy,Equivalence,3
4720656722,firefighters,firemen,Firefighters,Firemen,True,29,29,firefighters,firemen,Equivalence,3
459559508,balancing+beam,balance+beam,the balancing beam,a balance beam,True,196,196,balancing beam,balance beam,Equivalence,3
7863346994,man,another+man,a man,another man,True,188,188,man,another man,Equivalence,3
101362650,three+youngsters,three+kids,three youngsters,three kids,True,95,95,three youngsters,three kids,Equivalence,3
226687996,women,woman,women,A woman,True,-1,197,women,woman,Equivalence,3
3855280083,another+man,man,another man,A man,True,95,95,another man,man,Equivalence,3
267041173,cd,compact+discs,CD,compact discs,True,41,41,cd,compact discs,Equivalence,3
3741462565,big+chocolate+milkshake,large+chocolate+milkshake,a big chocolate milkshake,a large chocolate milkshake,True,143,143,big chocolate milkshake,large chocolate milkshake,Equivalence,3
246704758,oriental+man,asian+man,An oriental man,Asian man,True,168,168,oriental man,asian man,Equivalence,3
